,Trade,StartTime,EndTime,ElapseTime
0,20200923045129,23-09-2020 05:15:26.471000,23-09-2020 05:16:15.132000,48661.0
1,20200923045130,23-09-2020 05:15:26.556000,23-09-2020 05:16:14.823000,48267.0
2,20200923045131,23-09-2020 05:15:26.562000,23-09-2020 05:16:15.701000,49139.0
3,20200923045132,23-09-2020 05:15:26.567000,23-09-2020 05:16:16.208000,49641.0
4,20200923045133,23-09-2020 05:15:26.575000,23-09-2020 05:16:19.595000,53020.0
5,20200923045134,23-09-2020 05:15:26.652000,23-09-2020 05:16:17.707000,51055.0
6,20200923045135,23-09-2020 05:15:26.660000,23-09-2020 05:16:16.600000,49940.0
7,20200923045137,23-09-2020 05:15:26.667000,23-09-2020 05:16:10.732000,44065.0
8,20200923045138,23-09-2020 05:15:26.675000,23-09-2020 05:16:22.112000,55437.0
9,20200923045139,23-09-2020 05:15:26.748000,23-09-2020 05:16:10.807000,44059.0
10,20200923045140,23-09-2020 05:15:26.754000,23-09-2020 05:16:15.706000,48952.0
11,20200923045141,23-09-2020 05:15:26.763000,23-09-2020 05:16:11.211000,44448.0
12,20200923045142,23-09-2020 05:15:26.772000,23-09-2020 05:16:19.317000,52545.0
13,20200923045143,23-09-2020 05:15:26.849000,23-09-2020 05:16:18.494000,51645.0
14,20200923045144,23-09-2020 05:15:26.862000,23-09-2020 05:16:24.622000,57760.0
15,20200923045145,23-09-2020 05:15:26.879000,23-09-2020 05:16:17.194000,50315.0
16,20200923045146,23-09-2020 05:15:26.948000,23-09-2020 05:16:20.918000,53970.0
17,20200923045147,23-09-2020 05:15:26.954000,23-09-2020 05:16:11.618000,44664.0
18,20200923045148,23-09-2020 05:15:26.964000,23-09-2020 05:16:11.898000,44934.0
19,20200923045149,23-09-2020 05:15:26.973000,23-09-2020 05:16:27.098000,60125.0
20,20200923045150,23-09-2020 05:15:27.048000,23-09-2020 05:16:21.317000,54269.0
21,20200923045151,23-09-2020 05:15:27.053000,23-09-2020 05:16:22.610000,55557.0
22,20200923045152,23-09-2020 05:15:27.058000,23-09-2020 05:16:12.423000,45365.0
23,20200923045153,23-09-2020 05:15:27.063000,23-09-2020 05:16:18.829000,51766.0
24,20200923045154,23-09-2020 05:15:27.068000,23-09-2020 05:16:12.501000,45433.0
25,20200923045156,23-09-2020 05:15:27.072000,23-09-2020 05:16:23.895000,56823.0
26,20200923045157,23-09-2020 05:15:27.150000,23-09-2020 05:16:20.452000,53302.0
27,20200923045158,23-09-2020 05:15:27.156000,23-09-2020 05:16:13.225000,46069.0
28,20200923045159,23-09-2020 05:15:27.161000,23-09-2020 05:16:26.308000,59147.0
29,20200923045200,23-09-2020 05:15:27.166000,23-09-2020 05:16:13.013000,45847.0
30,20200923045201,23-09-2020 05:15:27.171000,23-09-2020 05:16:29.625000,62454.0
31,20200923045202,23-09-2020 05:15:27.177000,23-09-2020 05:16:14.118000,46941.0
32,20200923045203,23-09-2020 05:15:27.252000,23-09-2020 05:16:24.122000,56870.0
33,20200923045204,23-09-2020 05:15:27.257000,23-09-2020 05:16:13.520000,46263.0
34,20200923045205,23-09-2020 05:15:27.262000,23-09-2020 05:16:31.904000,64641.99999999999
35,20200923045206,23-09-2020 05:15:27.267000,23-09-2020 05:16:25.712000,58445.0
36,20200923045207,23-09-2020 05:15:27.272000,23-09-2020 05:16:21.918000,54646.0
37,20200923045208,23-09-2020 05:15:27.352000,23-09-2020 05:16:34.841000,67489.0
38,20200923045209,23-09-2020 05:15:27.357000,23-09-2020 05:16:27.650000,60293.0
39,20200923045210,23-09-2020 05:15:27.364000,23-09-2020 05:16:37.412000,70048.0
40,20200923045212,23-09-2020 05:15:27.375000,23-09-2020 05:16:29.415000,62040.0
41,20200923045213,23-09-2020 05:15:27.448000,23-09-2020 05:16:14.210000,46762.0
42,20200923045214,23-09-2020 05:15:27.456000,23-09-2020 05:16:28.812000,61356.0
43,20200923045215,23-09-2020 05:15:27.460000,23-09-2020 05:16:39.799000,72339.0
44,20200923045216,23-09-2020 05:15:27.465000,23-09-2020 05:16:31.103000,63638.0
45,20200923045217,23-09-2020 05:15:27.470000,23-09-2020 05:16:17.498000,50028.0
46,20200923045218,23-09-2020 05:15:27.477000,23-09-2020 05:16:23.613000,56136.0
47,20200923045219,23-09-2020 05:15:27.548000,23-09-2020 05:16:31.203000,63655.0
48,20200923045220,23-09-2020 05:15:27.552000,23-09-2020 05:16:32.906000,65354.0
49,20200923045221,23-09-2020 05:15:27.557000,23-09-2020 05:16:16.624000,49067.0
50,20200923045222,23-09-2020 05:15:27.561000,23-09-2020 05:16:34.216000,66655.0
51,20200923045223,23-09-2020 05:15:27.567000,23-09-2020 05:16:20.424000,52857.0
52,20200923045224,23-09-2020 05:15:27.575000,23-09-2020 05:16:35.316000,67741.0
53,20200923045225,23-09-2020 05:15:27.651000,23-09-2020 05:16:18.214000,50563.0
54,20200923045226,23-09-2020 05:15:27.656000,23-09-2020 05:16:25.200000,57544.0
55,20200923045227,23-09-2020 05:15:27.660000,23-09-2020 05:16:35.929000,68269.0
56,20200923045228,23-09-2020 05:15:27.665000,23-09-2020 05:16:48.115000,80450.0
57,20200923045229,23-09-2020 05:15:27.669000,23-09-2020 05:16:23.102000,55433.0
58,20200923045231,23-09-2020 05:15:27.673000,23-09-2020 05:16:49.004000,81331.0
59,20200923045232,23-09-2020 05:15:27.677000,23-09-2020 05:16:19.904000,52227.0
60,20200923045233,23-09-2020 05:15:27.681000,23-09-2020 05:16:33.619000,65938.0
61,20200923045234,23-09-2020 05:15:27.685000,23-09-2020 05:16:25.505000,57820.0
62,20200923045235,23-09-2020 05:15:27.748000,23-09-2020 05:16:26.893000,59145.0
63,20200923045236,23-09-2020 05:15:27.753000,23-09-2020 05:16:39.116000,71363.0
64,20200923045237,23-09-2020 05:15:27.758000,23-09-2020 05:16:40.102000,72344.0
65,20200923045238,23-09-2020 05:15:27.762000,23-09-2020 05:16:21.492000,53730.0
66,20200923045239,23-09-2020 05:15:27.766000,23-09-2020 05:16:52.918000,85152.0
67,20200923045240,23-09-2020 05:15:27.771000,23-09-2020 05:16:36.634000,68863.0
68,20200923045241,23-09-2020 05:15:27.775000,23-09-2020 05:16:28.010000,60235.0
69,20200923045242,23-09-2020 05:15:27.780000,23-09-2020 05:16:23.117000,55337.0
70,20200923045243,23-09-2020 05:15:27.784000,23-09-2020 05:16:53.702000,85918.0
71,20200923045244,23-09-2020 05:15:27.789000,23-09-2020 05:16:28.802000,61013.0
72,20200923045245,23-09-2020 05:15:27.793000,23-09-2020 05:16:30.497000,62704.0
73,20200923045246,23-09-2020 05:15:27.803000,23-09-2020 05:16:24.608000,56805.0
74,20200923045247,23-09-2020 05:15:27.807000,23-09-2020 05:16:32.620000,64813.0
75,20200923045248,23-09-2020 05:15:27.812000,23-09-2020 05:16:39.021000,71209.0
76,20200923045249,23-09-2020 05:15:27.818000,23-09-2020 05:16:42.003000,74185.0
