,TimeStamp,Trade
0,23-09-2020 05:15:26.471 [DefaultMessageListenerContainer-1],20200923045129
1,23-09-2020 05:15:26.556 [DefaultMessageListenerContainer-1],20200923045130
2,23-09-2020 05:15:26.562 [DefaultMessageListenerContainer-1],20200923045131
3,23-09-2020 05:15:26.567 [DefaultMessageListenerContainer-1],20200923045132
4,23-09-2020 05:15:26.575 [DefaultMessageListenerContainer-1],20200923045133
5,23-09-2020 05:15:26.652 [DefaultMessageListenerContainer-1],20200923045134
6,23-09-2020 05:15:26.660 [DefaultMessageListenerContainer-1],20200923045135
7,23-09-2020 05:15:26.667 [DefaultMessageListenerContainer-1],20200923045137
8,23-09-2020 05:15:26.675 [DefaultMessageListenerContainer-1],20200923045138
9,23-09-2020 05:15:26.748 [DefaultMessageListenerContainer-1],20200923045139
10,23-09-2020 05:15:26.754 [DefaultMessageListenerContainer-1],20200923045140
11,23-09-2020 05:15:26.763 [DefaultMessageListenerContainer-1],20200923045141
12,23-09-2020 05:15:26.772 [DefaultMessageListenerContainer-1],20200923045142
13,23-09-2020 05:15:26.849 [DefaultMessageListenerContainer-1],20200923045143
14,23-09-2020 05:15:26.862 [DefaultMessageListenerContainer-1],20200923045144
15,23-09-2020 05:15:26.879 [DefaultMessageListenerContainer-1],20200923045145
16,23-09-2020 05:15:26.948 [DefaultMessageListenerContainer-1],20200923045146
17,23-09-2020 05:15:26.954 [DefaultMessageListenerContainer-1],20200923045147
18,23-09-2020 05:15:26.964 [DefaultMessageListenerContainer-1],20200923045148
19,23-09-2020 05:15:26.973 [DefaultMessageListenerContainer-1],20200923045149
20,23-09-2020 05:15:27.048 [DefaultMessageListenerContainer-1],20200923045150
21,23-09-2020 05:15:27.053 [DefaultMessageListenerContainer-1],20200923045151
22,23-09-2020 05:15:27.058 [DefaultMessageListenerContainer-1],20200923045152
23,23-09-2020 05:15:27.063 [DefaultMessageListenerContainer-1],20200923045153
24,23-09-2020 05:15:27.068 [DefaultMessageListenerContainer-1],20200923045154
25,23-09-2020 05:15:27.072 [DefaultMessageListenerContainer-1],20200923045156
26,23-09-2020 05:15:27.150 [DefaultMessageListenerContainer-1],20200923045157
27,23-09-2020 05:15:27.156 [DefaultMessageListenerContainer-1],20200923045158
28,23-09-2020 05:15:27.161 [DefaultMessageListenerContainer-1],20200923045159
29,23-09-2020 05:15:27.166 [DefaultMessageListenerContainer-1],20200923045200
30,23-09-2020 05:15:27.171 [DefaultMessageListenerContainer-1],20200923045201
31,23-09-2020 05:15:27.177 [DefaultMessageListenerContainer-1],20200923045202
32,23-09-2020 05:15:27.252 [DefaultMessageListenerContainer-1],20200923045203
33,23-09-2020 05:15:27.257 [DefaultMessageListenerContainer-1],20200923045204
34,23-09-2020 05:15:27.262 [DefaultMessageListenerContainer-1],20200923045205
35,23-09-2020 05:15:27.267 [DefaultMessageListenerContainer-1],20200923045206
36,23-09-2020 05:15:27.272 [DefaultMessageListenerContainer-1],20200923045207
37,23-09-2020 05:15:27.352 [DefaultMessageListenerContainer-1],20200923045208
38,23-09-2020 05:15:27.357 [DefaultMessageListenerContainer-1],20200923045209
39,23-09-2020 05:15:27.364 [DefaultMessageListenerContainer-1],20200923045210
40,23-09-2020 05:15:27.375 [DefaultMessageListenerContainer-1],20200923045212
41,23-09-2020 05:15:27.448 [DefaultMessageListenerContainer-1],20200923045213
42,23-09-2020 05:15:27.456 [DefaultMessageListenerContainer-1],20200923045214
43,23-09-2020 05:15:27.460 [DefaultMessageListenerContainer-1],20200923045215
44,23-09-2020 05:15:27.465 [DefaultMessageListenerContainer-1],20200923045216
45,23-09-2020 05:15:27.470 [DefaultMessageListenerContainer-1],20200923045217
46,23-09-2020 05:15:27.477 [DefaultMessageListenerContainer-1],20200923045218
47,23-09-2020 05:15:27.548 [DefaultMessageListenerContainer-1],20200923045219
48,23-09-2020 05:15:27.552 [DefaultMessageListenerContainer-1],20200923045220
49,23-09-2020 05:15:27.557 [DefaultMessageListenerContainer-1],20200923045221
50,23-09-2020 05:15:27.561 [DefaultMessageListenerContainer-1],20200923045222
51,23-09-2020 05:15:27.567 [DefaultMessageListenerContainer-1],20200923045223
52,23-09-2020 05:15:27.575 [DefaultMessageListenerContainer-1],20200923045224
53,23-09-2020 05:15:27.651 [DefaultMessageListenerContainer-1],20200923045225
54,23-09-2020 05:15:27.656 [DefaultMessageListenerContainer-1],20200923045226
55,23-09-2020 05:15:27.660 [DefaultMessageListenerContainer-1],20200923045227
56,23-09-2020 05:15:27.665 [DefaultMessageListenerContainer-1],20200923045228
57,23-09-2020 05:15:27.669 [DefaultMessageListenerContainer-1],20200923045229
58,23-09-2020 05:15:27.673 [DefaultMessageListenerContainer-1],20200923045231
59,23-09-2020 05:15:27.677 [DefaultMessageListenerContainer-1],20200923045232
60,23-09-2020 05:15:27.681 [DefaultMessageListenerContainer-1],20200923045233
61,23-09-2020 05:15:27.685 [DefaultMessageListenerContainer-1],20200923045234
62,23-09-2020 05:15:27.748 [DefaultMessageListenerContainer-1],20200923045235
63,23-09-2020 05:15:27.753 [DefaultMessageListenerContainer-1],20200923045236
64,23-09-2020 05:15:27.758 [DefaultMessageListenerContainer-1],20200923045237
65,23-09-2020 05:15:27.762 [DefaultMessageListenerContainer-1],20200923045238
66,23-09-2020 05:15:27.766 [DefaultMessageListenerContainer-1],20200923045239
67,23-09-2020 05:15:27.771 [DefaultMessageListenerContainer-1],20200923045240
68,23-09-2020 05:15:27.775 [DefaultMessageListenerContainer-1],20200923045241
69,23-09-2020 05:15:27.780 [DefaultMessageListenerContainer-1],20200923045242
70,23-09-2020 05:15:27.784 [DefaultMessageListenerContainer-1],20200923045243
71,23-09-2020 05:15:27.789 [DefaultMessageListenerContainer-1],20200923045244
72,23-09-2020 05:15:27.793 [DefaultMessageListenerContainer-1],20200923045245
73,23-09-2020 05:15:27.803 [DefaultMessageListenerContainer-1],20200923045246
74,23-09-2020 05:15:27.807 [DefaultMessageListenerContainer-1],20200923045247
75,23-09-2020 05:15:27.812 [DefaultMessageListenerContainer-1],20200923045248
76,23-09-2020 05:15:27.818 [DefaultMessageListenerContainer-1],20200923045249
